signal_id,ehtimollik
SG_000001,0.13537955360141699
SG_000007,0.18392382336512925
SG_000009,0.10222527188979828
SG_000010,0.1484671728406427
SG_000011,0.14213814213834594
SG_000018,0.23621420814697155
SG_000024,0.23078290657582376
SG_000026,0.1563907186105362
SG_000032,0.18439956331877097
SG_000033,0.24301393568900206
SG_000034,0.08828834185962149
SG_000036,0.15123994065198249
SG_000039,0.10848718755907803
SG_000048,0.10279115567283499
SG_000049,0.14522231039509878
SG_000050,0.27499690326483284
SG_000053,0.0997175038905102
SG_000054,0.1825378018007906
SG_000055,0.14913071393317429
SG_000058,0.16103833330234227
SG_000059,0.12699636014914603
SG_000061,0.13877072993040043
SG_000062,0.26349878432787166
SG_000072,0.13404059372051316
SG_000073,0.13351765481690595
SG_000075,0.1308430066020051
SG_000080,0.2308991021502811
SG_000081,0.13815661695332088
SG_000083,0.10125410810866932
SG_000086,0.10276682439637136
SG_000087,0.2028961122438282
SG_000092,0.1879549246801965
SG_000099,0.1743431813341174
SG_000100,0.14411074854543993
SG_000105,0.13611200290387457
SG_000106,0.2026234188598793
SG_000107,0.04712455126600363
SG_000118,0.1842395220508816
SG_000120,0.12028459537262676
SG_000125,0.17346723794867477
SG_000129,0.12245986375251294
SG_000137,0.1149799259805432
SG_000146,0.1164833107212805
SG_000147,0.26785974198966905
SG_000149,0.1944246022133262
SG_000153,0.212555303060679
SG_000161,0.12732329229565412
SG_000163,0.15301712535561451
SG_000165,0.23317969837760738
SG_000173,0.08794144918237412
SG_000178,0.13395123781780427
SG_000179,0.1113624958339796
SG_000187,0.4486265735661198
SG_000192,0.07832216119938472
SG_000193,0.14493162449071964
SG_000195,0.20183646539102357
SG_000196,0.31878340555311613
SG_000201,0.09700957416914367
SG_000203,0.12708125699647846
SG_000205,0.3009044754410554
SG_000207,0.2003748228987002
SG_000211,0.18784774467227844
SG_000214,0.1074567694560165
SG_000217,0.0947408204067655
SG_000218,0.36544855974821255
SG_000219,0.21220969029195175
SG_000227,0.09914086435392545
SG_000229,0.08903043641200616
SG_000232,0.21114230978523899
SG_000240,0.06730770809760117
SG_000242,0.29586386700195755
SG_000244,0.12997764332121636
SG_000246,0.12287562890614256
SG_000250,0.1113138491581993
SG_000253,0.20235795388543706
SG_000262,0.14657006194839656
SG_000269,0.28127048276536404
SG_000270,0.1519152537294482
SG_000271,0.28673150678458953
SG_000284,0.254136112088644
SG_000286,0.19047670502186415
SG_000287,0.1404864293130595
SG_000290,0.3085199962682739
SG_000291,0.22404550017075517
SG_000301,0.145124464741094
SG_000302,0.19217617863705008
SG_000304,0.08448929354600425
SG_000306,0.2265493443147371
SG_000309,0.10750030320654218
SG_000314,0.17714853202685868
SG_000319,0.3121087615460538
SG_000320,0.11628773674864461
SG_000321,0.13627825420653317
SG_000325,0.2413040726310204
SG_000328,0.08335655598064731
SG_000329,0.09656640899598504
SG_000333,0.10919144165786662
SG_000334,0.19411087024181842
SG_000335,0.19200024381352596
SG_000339,0.07866548236965153
SG_000341,0.09866475454898226
SG_000345,0.26159257845392225
SG_000347,0.12306303363970121
SG_000349,0.16400408765636487
SG_000350,0.1703025125030402
SG_000351,0.05594048541977512
SG_000357,0.1256254589141686
SG_000360,0.24806124550281933
SG_000366,0.31019229058880776
SG_000368,0.18424331062536892
SG_000370,0.16737027720912007
SG_000378,0.1345528797825988
SG_000386,0.17893586813392137
SG_000394,0.1256729121220306
SG_000395,0.06458450294862886
SG_000397,0.2637542962497763
SG_000398,0.0981870352387805
SG_000401,0.16728936102798556
SG_000402,0.10583634710086029
SG_000414,0.28936481944127457
SG_000415,0.19305880564475147
SG_000419,0.31270746909163244
SG_000420,0.16999479523271852
SG_000422,0.3241666563519403
SG_000425,0.2331779816580441
SG_000430,0.062372242053672075
SG_000431,0.08136065531062414
SG_000435,0.06333541456071684
SG_000436,0.09214688933192276
SG_000440,0.2641233371580348
SG_000444,0.08313807394845785
